epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.923,1.91971,2.76699,1.89795,0.29775,0.17724,0.15031,0.07303,1.91944,2.34097,1.97692,0.000184659,0.000184659,0.000184659
2,568.862,1.76836,2.18645,1.77783,0.34451,0.19343,0.16272,0.07739,1.88001,2.1856,2.00401,0.00036633,0.00036633,0.00036633
3,845.871,1.73679,2.12413,1.74558,0.28443,0.19609,0.14588,0.06754,1.91617,2.25025,1.99505,0.000544331,0.000544331,0.000544331
4,1122.04,1.72687,2.11017,1.73744,0.26156,0.27508,0.19084,0.08997,1.81937,2.19107,1.89519,0.000539487,0.000539487,0.000539487
5,1397.56,1.67838,2.02105,1.70069,0.39909,0.20332,0.16108,0.07648,1.88479,2.23482,1.94462,0.000533982,0.000533982,0.000533982
6,1673.63,1.66533,1.97812,1.68159,0.31138,0.24619,0.20198,0.0983,1.79588,2.12541,1.84256,0.000528478,0.000528478,0.000528478
7,1949.55,1.65064,1.93484,1.66803,0.29111,0.30789,0.22961,0.10859,1.73249,1.94082,1.83339,0.000522974,0.000522974,0.000522974
8,2225.45,1.64081,1.92159,1.66104,0.34549,0.261,0.23222,0.11054,1.73774,1.92776,1.85365,0.000517469,0.000517469,0.000517469
9,2501.07,1.62724,1.89297,1.63615,0.31667,0.30441,0.24357,0.11755,1.68378,1.89301,1.76929,0.000511965,0.000511965,0.000511965
10,2777.1,1.60644,1.86485,1.61504,0.32611,0.30153,0.24609,0.11938,1.68154,1.86397,1.80614,0.00050646,0.00050646,0.00050646
11,3052.84,1.59705,1.84452,1.61507,0.36535,0.29958,0.26647,0.12886,1.7057,1.86709,1.77163,0.000500956,0.000500956,0.000500956
12,3327.82,1.5829,1.81765,1.59905,0.38675,0.29856,0.28516,0.13913,1.6855,1.82184,1.74852,0.000495452,0.000495452,0.000495452
13,3603.89,1.594,1.8244,1.61653,0.33465,0.28458,0.24566,0.11871,1.67551,1.87179,1.75395,0.000489947,0.000489947,0.000489947
14,3879.24,1.57943,1.79567,1.59974,0.36158,0.29581,0.25724,0.12312,1.70486,1.91736,1.75673,0.000484443,0.000484443,0.000484443
15,4154.53,1.56341,1.78508,1.58826,0.37929,0.30879,0.28398,0.13793,1.65291,1.8066,1.76612,0.000478938,0.000478938,0.000478938
16,4430.09,1.55482,1.76772,1.57875,0.35303,0.31262,0.27956,0.13676,1.66221,1.81073,1.75903,0.000473434,0.000473434,0.000473434
17,4705.04,1.54954,1.73689,1.57381,0.36726,0.33904,0.29162,0.1442,1.65966,1.82847,1.73722,0.00046793,0.00046793,0.00046793
